"geoid","agg_income","households","mean_income"
"51013_ca_01",363685577.896327,1145.81716278419,317402.80186816
"51013_ca_02",94635835.6667264,393.020777246205,240790.92288661
"51013_ca_03",105140506.597724,412.880175668363,254651.38021588
"51013_ca_04",1403848948.04897,8953.9657262344,156785.15989131
"51013_ca_05",491141312.077492,2916.33170677494,168410.647847952
"51013_ca_06",196828853.421701,783.76067791789,251133.871559606
"51013_ca_07",165179736.606253,890.436830206965,185504.1604331
"51013_ca_08",949721102.97353,6590.44062225745,144105.858380106
"51013_ca_09",266191672.953195,2450.3818669256,108632.730492401
"51013_ca_10",224220653.976022,928.70300513756,241434.185886812
"51013_ca_11",880030824.718492,5559.09427915443,158304.713057025
"51013_ca_12",591695123.875697,3091.00789472227,191424.656302556
"51013_ca_13",115317025.393459,523.685310345658,220202.902612152
"51013_ca_14",239786034.360054,1251.84782297783,191545.673490619
"51013_ca_15",373341016.759235,1332.8221923444,280113.145552098
"51013_ca_16",554274176.324082,2592.37666054578,213809.275773756
"51013_ca_17",156988337.200402,751.044368826538,209026.714953853
"51013_ca_18",164844266.522493,684.914600789825,240678.569755118
"51013_ca_19",463778817.362615,2740.98683445304,169201.402769656
"51013_ca_20",106397004.100258,574.364456862505,185243.015700271
"51013_ca_21",207055733.563114,1272.80377113717,162676.86996097
"51013_ca_22",24115441.4763413,189.979814937508,126936.861604344
"51013_ca_23",64317753.1025103,442.530406882757,145340.86720859
"51013_ca_24",43066396.344807,306.123221437057,140683.206398512
"51013_ca_25",295235213.575805,2451.51130535553,120429.880511193
"51013_ca_26",261264112.439674,2103.23472438848,124220.140248796
"51013_ca_27",152473171.967876,928.427396099368,164227.351119179
"51013_ca_28",43032763.3148649,198.156987553331,217165.005615981
"51013_ca_29",1028437894.73707,7594.63056397377,135416.447985714
"51013_ca_30",131931948.214173,1016.89258854815,129740.298729619
"51013_ca_31",325383890.637814,1616.19450472211,201327.185364834
"51013_ca_32",218988159.024543,931.519728516811,235086.979181023
"51013_ca_33",487868428.072769,3874.66533831346,125912.404162659
"51013_ca_34",86175474.7108563,295.071438204697,292049.529548416
"51013_ca_35",555474858.421633,3270.97551941814,169819.326107474
"51013_ca_36",230451877.466289,1972.37649234442,116839.699905553
"51013_ca_37",73231882.9558528,575.419813559786,127266.877556422
"51013_ca_38",248039264.916629,1614.47445939674,153634.678748223
"51013_ca_39",631657756.690409,4659.36186863584,135567.43916852
"51013_ca_40",71664120.2949123,247.153747384774,289957.65208182
"51013_ca_41",41737345.1375294,89.3906935488436,466909.288657928
"51013_ca_42",158098477.352802,339.259959801787,466009.833418514
"51013_ca_43",260178144.609713,726.875522551364,357940.440333548
"51013_ca_44",11434788.5699538,44.139114812007,259062.480492773
"51013_ca_45",54592550.4064784,175.192581497319,311614.509814811
"51013_ca_46",22171725.2617932,66.0944456815042,335455.196471944
"51013_ca_47",83593348.6822205,248.813423908963,335968.001118807
"51013_ca_48",243165289.633568,1084.17949020742,224285.085476987
"51013_ca_49",209384086.395058,686.056527782465,305199.466685126
"51013_ca_50",226670277.05858,3101.76946141636,73077.7318811682
"51013_ca_51",292978452.773727,1858.79777573679,157617.174174633
"51013_ca_52",557888747.900865,4002.78166042489,139375.263311675
"51013_ca_53",612953116.780998,5300.5644318049,115639.216288572
"51013_ca_54",497882385.536213,1833.44007384736,271556.399709011
"51013_ca_55",283032432.15066,1029.53792250238,274912.099850315
"51013_ca_56",322985834.83925,2419.22507540776,133507.972500166
"51013_ca_57",190640039.984453,1710.88350014481,111427.832443481
"51013_ca_58",40133114.8721587,138.409917580627,289958.375625651
"51013_ca_59",244906675.060893,547.536346175426,447288.434405461
"51013_ca_60",41857455.6547831,89.4371328986792,468009.810893672
"51013_ca_61",350916793.00192,1418.30372584584,247420.060038721
"51013_ca_62",333024549.573717,2487.92455343677,133856.370006753
