geoid,agg_income,households,mean_income
51013_ca_01,363685577.89615804,1145.8171627834538,317402.8018682161
51013_ca_02,94635835.6669277,393.02077724699984,240790.922886635
51013_ca_03,105140506.59778903,412.8801756685749,254651.3802159077
51013_ca_04,1403848948.0516276,8953.965726248225,156785.15989136472
51013_ca_05,491141312.07621044,2916.331706767424,168410.64784794685
51013_ca_06,196828853.42178652,783.7606779181989,251133.871559616
51013_ca_07,165179736.60583338,890.4368302046944,185504.16043310083
51013_ca_08,949721102.972983,6590.4406222557345,144105.85838006056
51013_ca_09,266191672.95280212,2450.3818669211782,108632.73049243665
51013_ca_10,224220653.976195,928.7030051381548,241434.18588684304
51013_ca_11,880030824.7180667,5559.094279150733,158304.7130570539
51013_ca_12,591695123.8754827,3091.0078947205097,191424.65630259542
51013_ca_13,115317025.39373432,523.6853103468478,220202.90261217643
51013_ca_14,239786034.3599576,1251.8478229770976,191545.67349065436
51013_ca_15,373341016.75918764,1332.8221923442268,280113.14555210015
51013_ca_16,554274176.3246311,2592.3766605490064,213809.275773702
51013_ca_17,156988337.2000903,751.0443688248805,209026.71495390034
51013_ca_18,164844266.5222013,684.9146007885453,240678.56975514226
51013_ca_19,463778817.36311865,2740.986834455706,169201.40276967583
51013_ca_20,106397004.10012987,574.3644568617385,185243.01570029403
51013_ca_21,207055733.5630743,1272.8037711361198,162676.8699610733
51013_ca_22,24115441.47635188,189.97981493768285,126936.86160428266
51013_ca_23,64317753.10253945,442.5304068830804,145340.86720855013
51013_ca_24,43066396.34466324,306.12322143601926,140683.20639851966
51013_ca_25,295235213.5754111,2451.511305351641,120429.88051122325
51013_ca_26,261264112.44023883,2103.234724393315,124220.14024877863
51013_ca_27,152473171.9680053,928.4273961000888,164227.35111919077
51013_ca_28,43032763.31493847,198.1569875536454,217165.0056160072
51013_ca_29,1028437894.7379502,7594.630563984534,135416.44798563825
51013_ca_30,131931948.21406595,1016.892588547646,129740.2987295785
51013_ca_31,325383890.6372943,1616.194504720306,201327.18536473697
51013_ca_32,218988159.02462465,931.519728516726,235086.9791811313
51013_ca_33,487868428.0722873,3874.665338311937,125912.40416258386
51013_ca_34,86175474.71095577,295.07143820498925,292049.529548464
51013_ca_35,555474858.4221901,3270.975519420824,169819.32610750486
51013_ca_36,230451877.46592113,1972.3764923414483,116839.69990554238
51013_ca_37,73231882.95593724,575.4198135603827,127266.87755643735
51013_ca_38,248039264.9166878,1614.474459396132,153634.67874831718
51013_ca_39,631657756.6902015,4659.361868633067,135567.43916855572
51013_ca_40,71664120.29493661,247.15374738482873,289957.65208185406
51013_ca_41,41737345.13756873,89.39069354891754,466909.2886579817
51013_ca_42,158098477.3526508,339.259959801406,466009.83341859013
51013_ca_43,260178144.609666,726.8755225511974,357940.44033356535
51013_ca_44,11434788.569889475,44.139114811777006,259062.48049266485
51013_ca_45,54592550.406510755,175.192581497372,311614.50981490145
51013_ca_46,22171725.26183117,66.09444568160956,335455.19647198345
51013_ca_47,83593348.68220821,248.81342390888338,335968.0011188644
51013_ca_48,243165289.63342974,1084.179490205663,224285.08547722353
51013_ca_49,209384086.3948018,686.0565277816312,305199.466685124
51013_ca_50,226670277.05874196,3101.7694614182246,73077.7318811764
51013_ca_51,292978452.773947,1858.7977757379972,157617.1741746495
51013_ca_52,557888747.900954,4002.781660423762,139375.2633117371
51013_ca_53,612953116.7806869,5300.564431804178,115639.21628852894
51013_ca_54,497882385.535599,1833.44007384568,271556.3997089253
51013_ca_55,283032432.1510161,1029.5379225035458,274912.0998503494
51013_ca_56,322985834.8391685,2419.22507540729,133507.97250015772
51013_ca_57,190640039.98463237,1710.883500146418,111427.83244348159
51013_ca_58,40133114.87215685,138.409917580604,289958.3756256848
51013_ca_59,244906675.06096902,547.5363461757905,447288.4344053024
51013_ca_60,41857455.65485185,89.43713289883726,468009.81089361396
51013_ca_61,350916793.0015,1418.3037258446295,247420.06003863644
51013_ca_62,333024549.5740339,2487.9245534382703,133856.37000679926
